ID,Name,Department,GEO,Role,Rising_Star,Will_Relocate,Critical,Trending Perf,Talent_Level,Percent_Remote,EMP_Sat_OnPrem_1,EMP_Sat_Remote_1,EMP_Engagement_1,last_evaluation,number_project,average_montly_hours,time_spend_company,left_Company,promotion_last_5years,salary,Gender,Emp_Work_Status2,Emp_Identity,Emp_Role,Emp_Position,Emp_Title,Emp_Satisfaction,Emp_Competitive_1,Emp_Collaborative_1
28,REICHARD,Human Resources,Japan,Manager,1,1,0,1,1,0.4,1,3,1,3,6,226,9,1,0,low,M,4,2,2,2,2,2,2,3
29,PRICKETT,IT,Australia,Manager,1,1,0,1,2,0.4,3,1,2,3,5,155,11,1,0,low,M,2,1,2,2,2,2,1,3
30,POFF,Warehouse,US,Manager,1,0,0,6,2,0.4,6,5,2,3,4,129,10,0,0,medium,M,4,1,1,2,1,2,2,3
31,PITZER,Operations,UK,Manager,1,1,0,5,2,0.4,6,4,2,5,5,128,9,0,0,medium,F,4,1,2,2,1,2,2,1
32,PETRO,Sales,Colombia,Manager,5,0,1,8,8,0.4,8,7,3,9,2,171,9,0,1,high,M,7,9,8,9,6,8,8,9
33,PELL,Finance,Japan,Manager,1,0,0,3,2,0.4,4,4,2,4,6,200,8,1,0,low,F,4,1,1,1,1,2,1,1
34,NORTHRUP,IT,Australia,Manager,1,0,0,6,1,0.4,7,7,1,3,3,247,10,0,0,medium,M,2,2,2,1,1,2,1,4
35,NICKS,IT,Colombia,Manager,1,1,0,5,1,0.4,5,7,1,3,6,266,11,0,0,medium,M,1,5,5,2,2,3,1,4
36,MOLINE,Warehouse,Turkey,Manager,1,1,0,1,1,0.4,3,2,2,5,3,256,12,0,0,medium,F,5,2,2,2,2,3,4,5
37,MIELKE,Operations,France,Manager,1,0,0,5,2,0.4,6,5,2,3,2,232,9,1,0,low,M,3,1,2,2,2,2,1,3
38,MAYNOR,Sales,US,Manager,5,1,1,9,9,0.4,8,8,4,10,3,168,8,0,1,medium,F,8,9,8,8,5,8,9,9
39,MALLON,Finance,Japan,Manager,1,1,0,3,1,0.4,1,6,1,4,2,284,10,0,0,high,M,3,1,1,2,2,2,2,2
40,MAGNESS,IT,China,Manager,3,0,1,9,5,0.4,8,9,2,6,3,127,9,0,0,medium,M,5,2,1,1,2,2,2,2
41,LINGLE,IT,US,Manager,1,0,0,4,1,0.4,3,6,2,5,4,216,12,1,0,low,F,2,2,2,1,1,2,1,4
42,LINDELL,Warehouse,UK,Manager,1,0,0,4,2,0.4,4,4,1,4,6,233,11,0,0,medium,M,4,2,1,1,1,2,2,5
43,LIEB,Operations,Korea,Manager,1,0,0,4,2,0.4,2,4,2,3,4,285,12,1,0,low,M,2,1,2,2,1,2,1,2
44,LESKO,Sales,Turkey,Manager,4,1,1,9,8,0.4,8,7,4,9,3,167,10,0,1,medium,F,9,8,10,10,4,8,6,8
45,LEBEAU,Finance,France,Level 2-4,1,0,0,1,1,0.4,1,4,2,3,3,111,7,0,0,high,F,5,2,2,2,2,3,2,5
46,LAMMERS,Human Resources,Colombia,Level 2-4,4,0,1,9,8,0.4,9,7,3,8,3,137,5,0,1,high,M,8,9,9,8,6,8,9,10
47,LAFOND,IT,US,Level 2-4,4,1,1,8,8,0.4,10,7,3,7,4,153,7,0,1,medium,M,8,9,8,7,6,8,7,7
48,KIERNAN,Warehouse,Colombia,Level 2-4,4,1,1,8,8,0.4,10,8,4,7,5,101,6,0,0,medium,F,7,9,7,7,3,7,6,8
49,KETRON,Operations,Korea,Level 2-4,4,0,1,10,7,0.4,10,9,3,9,3,108,5,0,1,medium,M,8,8,10,9,6,8,9,9
50,JURADO,Sales,US,Level 2-4,4,1,1,10,8,0.4,10,9,3,7,3,123,6,0,0,medium,F,7,10,8,7,3,7,7,7
51,HOLMGREN,Finance,Turkey,Level 2-4,4,1,1,7,8,0.4,6,7,2,7,2,167,7,0,1,high,M,10,9,8,8,6,8,6,7
52,HILBURN,Human Resources,US,Level 2-4,4,1,1,7,8,0.4,6,9,2,8,2,280,7,0,1,medium,M,9,10,10,10,3,8,8,10
53,HAYASHI,IT,US,Level 2-4,4,1,1,8,7,0.4,8,8,3,8,4,165,7,0,1,medium,M,8,9,7,10,3,7,6,8
54,HASHIMOTO,Warehouse,Turkey,Level 2-4,4,0,1,8,8,0.4,10,9,3,7,3,127,6,0,0,low,F,8,7,7,7,6,7,6,7
55,HARBAUGH,Operations,Korea,Level 2-4,4,0,1,10,7,0.4,10,8,4,7,2,104,5,0,1,medium,F,8,10,9,9,2,8,6,9
56,HANS,Sales,US,Level 2-4,4,1,1,10,8,0.4,10,9,4,9,3,125,7,0,1,medium,M,9,10,9,8,2,8,6,8
57,GUILLOT,Finance,Korea,Level 2-4,4,0,1,7,7,0.4,7,7,3,8,3,169,5,0,1,medium,M,8,8,9,7,6,8,9,9
58,GARD,Human Resources,Australia,Level 2-4,4,0,1,9,7,0.4,8,9,4,10,6,219,6,0,1,low,M,7,9,7,8,2,7,7,10
59,FROEHLICH,IT,US,Level 2-4,4,1,1,10,7,0.4,8,8,3,8,5,173,7,0,1,medium,F,10,9,9,8,4,8,6,8
60,FELIPE,Warehouse,UK,Level 2-4,4,1,1,9,8,0.4,9,9,3,9,5,156,7,0,0,medium,M,7,8,9,10,2,7,6,7
61,FEINBERG,Operations,Turkey,Level 2-4,4,0,1,9,8,0.4,8,8,5,8,5,246,6,0,1,medium,M,8,9,7,8,4,7,7,7
62,FALCO,Sales,US,Level 2-4,4,0,1,10,7,0.4,10,7,3,9,2,118,7,0,0,high,F,7,9,10,8,3,7,9,8
63,DUFOUR,Finance,UK,Level 2-4,4,0,1,8,8,0.4,8,9,4,7,3,164,6,0,1,high,M,10,9,7,8,4,8,6,8
64,DREES,Human Resources,Korea,Level 2-4,4,1,1,8,8,0.4,9,8,2,7,2,219,6,0,1,low,F,10,10,8,7,3,8,9,10
65,DONEY,IT,US,Level 2-4,4,1,1,8,7,0.4,9,9,3,7,6,187,5,0,1,high,F,7,7,10,8,3,7,7,9
66,DIEP,Warehouse,France,Level 2-4,4,0,1,7,8,0.4,5,7,3,7,3,180,6,0,1,medium,F,9,9,10,10,6,9,9,7
67,DELAO,Operations,Colombia,Level 2-4,4,0,1,9,8,0.4,10,9,3,8,3,170,6,0,1,low,F,7,9,10,10,2,8,8,9
68,DAVES,Sales,Colombia,Level 2-4,4,1,1,7,8,0.4,6,9,4,7,2,179,6,0,1,low,F,7,9,7,10,8,8,1,8
69,DAIL,Finance,China,Level 2-4,4,0,1,8,8,0.4,8,9,4,7,5,156,7,0,1,medium,M,9,9,10,9,4,8,9,9
70,CUTTING,Human Resources,China,Level 2-4,4,1,1,10,7,0.4,9,9,5,9,5,246,6,0,1,medium,F,9,8,9,8,5,8,9,9
71,CROWSON,IT,France,Level 2-4,4,0,1,7,7,0.4,5,9,3,8,2,118,7,0,1,high,M,8,7,7,8,6,7,6,9
72,COSS,Warehouse,France,Level 2-4,4,1,1,7,7,0.4,6,7,4,7,3,164,7,0,1,medium,M,9,10,7,10,5,8,9,9
73,CONGDON,Operations,US,Level 2-4,4,0,1,7,7,0.4,6,7,3,8,2,219,5,0,1,medium,F,9,10,7,8,6,8,8,9
74,CARNER,Sales,UK,Level 2-4,4,1,1,10,7,0.4,9,7,5,10,6,187,6,0,1,high,M,7,9,9,9,5,8,8,9
75,CAMARENA,Finance,China,Level 2-4,4,1,1,10,7,0.4,8,7,5,7,3,180,7,0,1,medium,M,7,9,9,10,5,8,6,8
76,BUTTERWORTH,Human Resources,Australia,Level 2-4,4,1,1,10,7,0.4,8,7,5,10,3,170,6,0,1,medium,F,10,10,10,8,3,8,7,8
77,BURLINGAME,IT,Korea,Level 2-4,4,0,1,9,7,0.4,10,8,5,10,2,179,6,0,1,low,F,7,10,7,8,10,8,2,7
78,BOUFFARD,Warehouse,China,Level 2-4,4,1,1,8,8,0.4,8,8,2,8,3,257,7,0,0,medium,F,7,7,8,7,3,6,7,8
79,BLOCH,Operations,US,Level 2-4,4,0,1,9,8,0.4,9,8,3,10,6,169,6,0,0,medium,F,7,9,10,7,3,7,9,7
80,BILYEU,Sales,US,Level 2-4,4,1,1,7,8,0.4,5,7,3,7,4,183,6,0,1,medium,M,10,7,10,10,6,9,7,9
81,BARTA,Finance,Korea,Level 2-4,4,0,1,10,8,0.4,9,8,3,10,2,126,6,0,1,medium,F,9,8,7,7,2,7,6,10
82,BAKKE,Human Resources,China,Level 2-4,4,0,1,9,8,0.4,8,9,4,10,3,280,5,0,1,low,F,10,10,7,8,5,8,6,8
83,BAILLARGEON,IT,China,Level 2-4,4,0,1,7,7,0.4,6,9,3,7,6,215,7,0,1,medium,F,9,8,7,9,2,7,8,7
84,AVENT,Warehouse,China,Level 2-4,4,1,1,10,8,0.4,10,7,4,8,5,139,6,0,1,medium,M,7,9,8,9,5,8,6,10
85,AQUILAR,Operations,China,Level 2-4,4,1,1,8,8,0.4,9,9,3,8,3,134,6,0,0,medium,F,7,8,8,7,2,6,9,8
86,AKE,Sales,China,Level 2-4,4,1,1,10,8,0.4,10,7,5,8,6,165,7,0,0,medium,F,7,10,8,9,2,7,9,9
87,AHO,Finance,Japan,Level 2-4,4,0,1,8,8,0.4,8,9,3,7,2,106,6,0,1,medium,F,8,9,10,9,5,8,8,10
88,ZERINGUE,Human Resources,France,Level 2-4,4,1,1,10,8,0.4,8,7,3,9,5,175,5,0,1,high,M,10,10,8,7,6,8,7,8
89,YEH,IT,Colombia,Level 2-4,4,0,1,9,7,0.4,8,9,5,8,5,171,5,0,1,high,F,10,7,8,7,7,8,1,8
90,YARBER,Warehouse,Korea,Level 2-4,4,1,1,10,8,0.4,9,8,5,10,3,197,6,0,1,medium,F,8,8,7,8,3,7,8,10
91,WOLFSON,Operations,US,Level 2-4,4,1,1,10,8,0.4,8,7,5,9,4,135,7,0,1,high,M,8,10,9,8,2,7,8,7
92,WENDELL,Sales,Colombia,Level 2-4,4,0,1,10,8,0.4,10,7,5,7,3,275,6,0,1,medium,F,8,9,10,7,5,8,8,9
93,VOGLER,Finance,France,Level 2-4,4,1,1,10,8,0.4,10,7,4,9,6,140,7,0,1,high,M,8,7,7,7,2,6,9,10
94,VOELKER,Human Resources,Japan,Level 2-4,4,0,1,9,8,0.4,9,8,4,7,4,140,6,0,1,medium,M,8,10,9,10,2,8,6,10
95,TRUSS,IT,Korea,Level 2-4,4,1,1,7,7,0.4,5,9,2,8,3,215,6,0,1,high,M,10,8,8,8,3,7,9,9
96,TROXELL,Warehouse,UK,Level 2-4,4,1,1,8,8,0.4,8,7,4,8,2,115,7,0,1,medium,M,10,10,10,7,2,8,6,8
97,THRIFT,Operations,UK,Level 2-4,4,0,1,10,8,0.4,9,7,5,10,2,103,5,0,1,low,M,9,10,9,9,3,8,8,7
98,STROUSE,Sales,Korea,Level 2-4,4,0,1,9,7,0.4,9,7,5,9,4,186,5,0,0,medium,F,9,10,7,8,3,7,9,7
99,SPIELMAN,Finance,Turkey,Level 2-4,4,1,1,8,8,0.4,8,7,3,7,6,109,5,0,1,medium,M,7,8,9,9,3,7,9,9
100,SISTRUNK,Human Resources,China,Level 2-4,4,1,1,8,7,0.4,8,9,2,7,6,212,7,0,1,high,M,8,10,9,9,3,8,7,10
101,SHOWS,IT,France,Level 2-4,4,1,1,8,8,0.4,8,9,4,8,6,105,7,0,1,medium,M,7,10,10,10,6,9,9,10
102,SEVIGNY,Warehouse,Colombia,Level 2-4,4,1,1,8,7,0.4,9,9,2,7,4,270,6,0,0,low,M,7,10,9,8,3,7,6,10
103,SCHULLER,Operations,UK,Level 2-4,4,1,1,10,8,0.4,10,8,3,8,2,268,5,0,0,high,M,7,7,10,8,2,7,7,9
104,SCHAAF,Sales,Colombia,Level 2-4,4,1,1,10,8,0.4,8,7,3,9,2,139,5,0,1,medium,M,9,8,9,7,6,8,8,9
105,RUFFNER,Finance,Korea,Level 2-4,4,0,1,10,7,0.4,8,8,4,7,4,145,5,0,1,medium,M,9,7,7,10,8,8,2,9
106,ROUTH,Human Resources,Korea,Level 2-4,4,0,1,7,8,0.4,6,8,3,8,5,279,6,0,1,medium,F,9,9,8,9,6,8,8,7
107,ROSEMAN,IT,Japan,Level 2-4,4,1,1,9,8,0.4,8,7,5,9,2,278,6,0,0,medium,M,9,7,7,9,3,7,9,7
108,RICCIARDI,Warehouse,China,Level 1,4,0,1,8,7,0.4,8,8,4,8,2,269,4,0,1,low,M,9,9,10,9,6,9,6,7
109,PERAZA,Operations,Korea,Level 1,4,1,1,7,7,0.4,7,7,4,8,4,128,3,0,1,low,M,7,8,10,9,4,8,6,7
110,PEGRAM,Sales,Turkey,Level 1,4,1,1,7,7,0.4,7,7,3,8,3,173,2,0,1,medium,M,10,10,10,10,2,8,8,9
111,OVERTURF,Finance,Japan,Level 1,5,1,1,7,10,0.4,6,7,4,10,3,132,3,0,1,medium,M,9,9,9,7,4,8,9,10
112,OLANDER,IT,UK,Level 1,5,1,1,9,10,0.4,8,7,5,9,2,103,4,0,1,medium,F,10,8,10,9,5,8,6,9
113,ODANIEL,IT,Japan,Level 1,5,0,1,9,8,0.4,8,8,4,10,4,203,5,0,1,medium,F,7,9,7,8,5,7,9,7
114,NEU,Warehouse,France,Level 1,5,0,1,7,10,0.4,5,8,5,8,5,191,1,0,1,medium,F,9,10,8,10,6,9,8,8
115,MILLNER,Operations,China,Level 1,5,0,1,8,9,0.4,9,7,4,9,5,122,1,0,1,medium,M,9,10,8,9,5,8,8,8
116,MELCHOR,Sales,China,Level 1,5,1,1,8,10,0.4,8,9,4,8,3,119,2,0,1,medium,M,8,10,9,10,3,8,6,10
117,MAXIE,Finance,China,Level 1,5,1,1,10,9,0.4,8,7,5,8,5,211,4,0,1,medium,M,10,10,10,10,3,9,8,10
118,MARVEL,Support,US,Level 1,5,1,1,9,9,0.4,9,8,4,9,4,142,2,0,1,low,M,8,7,10,10,6,8,9,10
119,MARONEY,IT,France,Level 1,5,1,1,7,8,0.4,5,7,4,8,5,115,5,0,0,high,F,9,8,9,8,2,7,6,10
120,MACHUCA,Warehouse,US,Level 1,5,0,1,10,8,0.4,9,7,5,10,2,103,4,0,0,medium,F,7,9,8,8,3,7,7,9
121,MACALUSO,Operations,China,Level 1,5,0,1,10,9,0.4,10,9,5,8,4,203,1,0,0,high,F,10,7,8,10,2,7,6,7
122,LIVESAY,Sales,UK,Level 1,5,1,1,8,10,0.4,10,9,4,8,5,191,2,0,1,medium,M,7,10,7,10,6,8,8,7
123,LAYFIELD,Finance,Australia,Level 1,5,0,1,10,8,0.4,10,9,5,8,5,122,4,0,1,low,F,10,10,7,8,6,8,6,7
124,LASKOWSKI,IT,Australia,Level 1,5,1,1,10,10,0.4,9,9,4,9,3,119,3,0,1,high,F,7,9,9,8,6,8,9,9
125,KWIATKOWSKI,IT,France,Level 1,5,0,1,8,10,0.4,10,7,3,10,5,211,1,0,1,medium,F,9,7,10,7,4,7,9,8
126,KO,Warehouse,Colombia,Level 1,5,1,1,9,9,0.4,9,7,4,9,4,142,5,0,0,high,F,8,7,8,7,2,6,9,7
127,KILEY,Operations,Korea,Level 1,5,0,1,7,9,0.4,5,7,3,9,5,115,4,0,1,high,F,10,9,10,10,6,9,6,10
128,KILBY,Sales,UK,Level 1,5,1,1,9,10,0.4,8,8,4,9,2,136,1,0,1,medium,M,7,9,7,9,5,7,9,8
129,JULIEN,Finance,Colombia,Level 1,5,1,1,9,8,0.4,9,8,4,10,5,198,5,0,1,medium,M,8,9,9,9,5,8,8,7
130,HOVEY,IT,Turkey,Level 1,5,1,1,7,10,0.4,6,8,4,10,3,99,3,0,1,high,M,10,7,7,8,3,7,8,7
131,HEYWOOD,IT,UK,Level 1,5,1,1,8,8,0.4,8,9,5,9,6,214,2,0,1,high,M,7,7,10,7,3,7,9,7
132,HAYMAN,Warehouse,US,Level 1,5,1,1,10,9,0.4,8,7,4,8,4,272,5,0,0,low,F,10,9,7,9,2,7,7,9
133,HAVARD,Operations,Colombia,Level 1,5,1,1,7,10,0.4,7,7,3,7,2,167,5,0,0,medium,M,7,7,8,8,2,6,8,9
134,HARVILLE,Sales,Turkey,Level 1,5,1,1,7,10,0.4,7,7,4,9,3,149,1,0,1,high,M,8,10,7,7,5,7,6,8
135,HAIGH,Finance,Australia,Level 1,5,0,1,7,8,0.4,5,8,3,7,4,275,1,0,1,medium,M,10,10,7,9,2,8,9,7
136,HAGOOD,IT,China,Level 1,5,0,1,10,10,0.4,9,9,5,8,3,261,2,0,1,medium,F,10,8,8,10,5,8,8,9
137,GRIECO,IT,Colombia,Level 1,5,1,1,10,9,0.4,9,7,4,8,4,239,2,0,1,high,F,8,7,9,8,3,7,9,10
138,GLASSMAN,Warehouse,Australia,VP,3,0,1,8,6,0.4,10,9,3,7,5,263,15,0,1,medium,M,7,8,8,8,1,6,8,6
139,GEBHARDT,Operations,Colombia,Senior Director,4,1,1,10,7,0.4,9,9,4,7,3,193,15,0,1,medium,F,8,10,10,10,10,10,1,8
140,GARRY,Sales,US,Senior Director,4,1,1,8,8,0.4,8,7,3,7,2,210,15,0,1,low,F,10,7,8,9,5,8,9,9
141,FREEZE,Finance,Australia,Senior Director,4,0,1,8,7,0.4,9,8,2,7,6,190,16,0,0,medium,F,7,7,7,8,4,7,6,9
142,FLEISCHER,Human Resources,UK,Director,5,1,1,8,9,0.4,10,9,4,10,4,190,17,0,1,medium,M,10,9,9,8,4,8,9,8
143,FANN,IT,Colombia,Director,5,0,1,8,10,0.4,9,9,5,9,5,111,13,0,0,low,F,8,9,7,9,2,7,7,9
144,ELSON,Warehouse,Colombia,Director,5,0,1,9,8,0.4,10,8,3,10,2,177,15,0,0,medium,M,8,8,7,9,3,7,7,9
145,ECCLES,Operations,France,Director,5,0,1,8,8,0.4,9,7,4,10,4,193,17,0,1,medium,M,9,10,9,10,4,8,9,8
146,CUNHA,Sales,UK,Director,5,1,1,8,10,0.4,9,7,4,10,5,229,17,0,1,high,M,7,8,9,8,6,8,6,10
147,CRUMB,Finance,Australia,Director,5,1,1,10,10,0.4,10,8,4,9,3,99,15,0,1,medium,F,7,7,8,8,4,7,8,7
148,CREW,Human Resources,China,Senior Manager,5,0,1,7,9,0.4,7,9,5,7,5,158,15,0,0,medium,F,9,8,7,8,4,7,7,10
149,BLAKLEY,IT,Colombia,Senior Manager,5,0,1,8,8,0.4,9,7,4,9,2,188,13,0,1,low,M,7,8,7,7,2,6,8,7
150,BARDWELL,Warehouse,Korea,Senior Manager,5,0,1,9,8,0.4,8,7,3,10,2,145,12,0,1,medium,F,9,8,8,9,4,8,7,9
151,ABSHIRE,Operations,Japan,Senior Manager,5,0,1,7,9,0.4,6,9,4,7,5,161,10,0,1,high,F,7,7,9,8,2,7,6,9
152,WOODHAM,Sales,Australia,Senior Manager,5,0,1,8,8,0.4,8,8,3,8,3,175,11,0,0,medium,M,7,8,8,8,6,7,6,7
153,WINES,Finance,US,Senior Manager,5,0,1,10,10,0.4,10,9,4,10,3,193,14,0,0,high,M,8,10,7,7,3,7,7,8
154,WELTER,Human Resources,Japan,Senior Manager,5,1,1,9,9,0.4,9,9,3,10,2,235,11,0,1,high,F,10,8,10,8,3,8,7,10
155,WARGO,IT,Korea,Senior Manager,5,0,1,9,9,0.4,10,8,3,10,3,98,12,0,1,high,M,9,10,8,9,2,8,7,8
156,VARNADO,Warehouse,Korea,Senior Manager,5,0,1,9,9,0.4,10,9,3,8,6,246,10,0,1,medium,M,8,9,7,9,2,7,8,8
157,TUTT,Operations,US,Senior Manager,5,0,1,7,8,0.4,5,7,4,7,2,118,10,0,0,medium,M,7,9,9,8,3,7,6,7
158,TRAYNOR,Sales,China,Senior Manager,5,1,1,9,10,0.4,9,9,3,10,6,285,12,0,0,low,F,8,7,8,8,3,7,6,8
159,SWANEY,Finance,Turkey,Senior Manager,5,0,1,10,10,0.4,9,8,4,8,3,98,10,0,0,low,M,10,9,9,7,2,7,8,10
160,SVOBODA,Human Resources,UK,Manager,1,0,0,3,1,0.4,1,6,1,3,4,152,8,0,0,high,M,1,1,2,2,2,2,1,1
161,STRICKER,IT,UK,Manager,1,0,0,1,2,0.4,2,1,2,3,6,215,10,0,0,medium,F,1,2,1,1,2,1,2,5
162,STOFFEL,Warehouse,Japan,Manager,2,1,0,6,3,0.4,7,5,1,4,5,158,12,0,0,medium,F,5,2,1,1,1,2,2,2
163,STAMBAUGH,Operations,China,Manager,2,0,0,1,4,0.4,3,4,2,3,2,131,8,0,0,high,M,2,1,2,1,2,2,1,2
164,SICKLER,Sales,Korea,Manager,2,1,0,4,4,0.4,2,6,2,3,3,257,9,1,0,low,M,3,2,2,1,1,2,1,4
165,SHACKLEFORD,Finance,Colombia,Manager,2,0,0,5,4,0.4,7,7,2,3,6,132,10,0,0,medium,M,1,2,1,2,1,1,1,5
166,SELMAN,IT,France,Manager,2,1,0,5,5,0.4,5,5,2,5,5,200,12,0,0,medium,F,5,1,1,1,1,2,1,1
167,SEAVER,IT,Colombia,Manager,3,1,1,8,6,0.4,10,9,2,7,5,218,10,0,1,low,F,8,8,7,7,1,6,8,6
168,SANSOM,Warehouse,Turkey,Manager,2,1,0,6,4,0.4,7,5,2,4,6,105,10,0,0,medium,F,4,1,1,1,2,2,2,3
169,SANMIGUEL,Operations,US,Manager,2,0,0,4,5,0.4,1,4,2,4,4,132,11,0,0,high,M,2,1,1,2,2,2,1,3
170,ROYSTON,Sales,Turkey,Manager,2,1,0,2,5,0.4,1,1,1,4,5,132,9,0,0,low,M,1,5,5,2,1,3,2,2
171,ROURKE,Finance,Australia,Manager,2,0,0,1,3,0.4,2,2,2,5,3,106,8,0,0,high,F,4,1,1,1,1,2,5,3
172,ROCKETT,IT,China,Manager,2,1,0,4,5,0.4,1,4,1,3,2,207,8,0,0,medium,M,5,2,2,1,1,2,1,1
173,RIOUX,IT,Korea,Manager,2,0,0,1,4,0.4,1,3,1,3,5,200,11,0,0,medium,M,5,1,2,1,2,2,2,2
174,PULEO,Warehouse,Korea,Manager,2,1,0,3,4,0.4,4,4,1,5,5,218,10,1,0,low,M,2,2,2,2,2,2,1,4
175,PITCHFORD,Operations,Korea,Manager,2,0,0,3,4,0.4,2,4,2,5,6,105,12,0,0,medium,M,1,2,2,2,2,2,1,3
176,PERSONS,Sales,Turkey,Manager,2,0,0,2,4,0.4,4,2,2,4,4,132,12,0,0,high,M,2,1,1,1,1,1,2,3
177,NORMAND,Finance,US,Manager,5,1,1,10,8,0.4,9,9,5,8,5,132,9,0,1,low,F,8,8,8,9,10,9,2,7
178,NARDI,Human Resources,Australia,Manager,2,0,0,5,4,0.4,6,5,1,5,3,106,9,0,0,high,M,2,2,2,1,2,2,4,1
179,MULVANEY,IT,Korea,Manager,2,0,0,3,5,0.4,4,7,1,5,2,207,12,0,0,medium,F,3,1,1,2,2,2,1,2
180,MIDDAUGH,Warehouse,Japan,Manager,2,0,0,5,4,0.4,5,7,1,5,4,212,10,1,0,low,F,1,2,1,2,2,2,1,5
181,MANNERS,Operations,Australia,Manager,2,0,0,5,3,0.4,7,5,1,5,4,258,12,0,0,medium,F,2,2,1,1,2,2,2,4
182,MALEK,Sales,US,Level 2-4,5,0,1,7,8,0.4,5,9,4,7,2,141,7,0,1,high,M,10,8,9,8,4,8,6,8
183,LODGE,Finance,US,Level 2-4,5,0,1,7,9,0.4,5,8,5,9,2,194,5,0,1,high,F,7,7,9,9,2,7,6,9
